2,paintjob,300,31,115,115,115,115,MENU_FILESHARE_CATEGORY_PAINTJOBS,gamedata/ddl/fileshare/fileshare_paintjob.ddl
3,variant,600,31,245,245,245,245,MENU_FILESHARE_CATEGORY_VARIANTS,gamedata/ddl/fileshare/fileshare_gunsmith.ddl
1,emblem,100,10,32,32,32,32,MENU_FILESHARE_CATEGORY_EMBLEMS,gamedata/ddl/fileshare/fileshare_emblem.ddl
12,customgame,7000,10,50,100,100,100,MENU_FILESHARE_CATEGORY_CUSTOMGAMES,gamedata/ddl/fileshare/fileshare_customgame.ddl
11,screenshot,5000,100,400,200,200,200,MENU_FILESHARE_CATEGORY_SCREENSHOTS,
6,clip,1000,20,100,200,200,200,MENU_FILESHARE_CATEGORY_CLIP,
10,film,3000,20,50,200,200,200,MENU_FILESHARE_CATEGORY_FILMS,
14,clip_private,2000,30,100,200,200,200,MENU_FILESHARE_CATEGORY_CLIP,
13,film_private,4000,20,50,200,200,200,MENU_FILESHARE_CATEGORY_FILMS,
15,screenshot_private,6000,100,400,200,200,200,MENU_FILESHARE_CATEGORY_SCREENSHOTS,
16,customgame_private,8000,10,50,200,200,200,MENU_FILESHARE_CATEGORY_CUSTOMGAMES,
