0,1522368000,388,307,585
1,1522454400,115,422,162
2,1522540800,28,78,185
3,1522627200,258,42,323
4,1522713600,348,329,679
5,1522800000,580,616,202
6,1522886400,217,376,669
7,1522972800,404,246,413
8,1523059200,285,272,256
9,1523145600,325,189,121
10,1523232000,68,153,30
11,1523318400,623,683,424
12,1523404800,409,304,292
13,1523491200,370,268,358
14,1523577600,130,345,384
15,1523664000,46,578,274
16,1523750400,470,483,651
17,1523836800,322,675,200
18,1523923200,254,429,681
19,1524009600,240,338,175
20,1524096000,372,396,286
21,1524182400,357,594,659
22,1524268800,220,385,77
23,1524355200,114,495,183
24,1524441600,204,473,344
25,1524528000,333,72,554
26,1524614400,417,374,612
27,1524700800,270,665,427
28,1524787200,397,391,631
29,1524873600,685,214,360
30,1524960000,37,235,61
31,1525046400,465,255,134
32,1525132800,149,618,579
33,1525219200,180,83,198
34,1525305600,664,352,433
35,1525392000,324,363,687
36,1525478400,534,279,375
37,1525564800,1,496,342
38,1525651200,428,119,218
39,1525737600,237,477,633
40,1525824000,682,654,597
41,1525910400,265,542,405
42,1525996800,315,330,11
43,1526083200,411,182,80
44,1526169600,491,467,199
45,1526256000,653,353,252
46,1526342400,555,163,430
47,1526428800,702,244,223
48,1526515200,253,514,44
