aquifiers_load,0.3,3.7,VIDSUBTITLES_AQU_LOAD_1
aquifiers_load,3.8,6.9,VIDSUBTITLES_AQU_LOAD_2
aquifiers_load,7,12.5,VIDSUBTITLES_AQU_LOAD_3
aquifiers_load,12.7,16.8,VIDSUBTITLES_AQU_LOAD_4
aquifiers_load,17.2,23.8,VIDSUBTITLES_AQU_LOAD_5
aquifiers_load,24,27.5,VIDSUBTITLES_AQU_LOAD_6
aquifiers_load,27.7,29.8,VIDSUBTITLES_AQU_LOAD_7
aquifiers_load,30,32.8,VIDSUBTITLES_AQU_LOAD_8
aquifiers_load,34,38.4,VIDSUBTITLES_AQU_LOAD_9
aquifiers_load,38.7,42,VIDSUBTITLES_AQU_LOAD_10
aquifiers_load,42.5,44.7,VIDSUBTITLES_AQU_LOAD_11
biodomes_load,3.4,5.8,VIDSUBTITLES_BIO_LOAD_1
biodomes_load,7,9.1,VIDSUBTITLES_BIO_LOAD_2
biodomes_load,9.7,12.3,VIDSUBTITLES_BIO_LOAD_3
biodomes_load,12.5,18.3,VIDSUBTITLES_BIO_LOAD_4
biodomes_load,19.3,23.3,VIDSUBTITLES_BIO_LOAD_5
biodomes_load,23.8,26.3,VIDSUBTITLES_BIO_LOAD_6
biodomes_load,27.4,32,VIDSUBTITLES_BIO_LOAD_7
biodomes_load,32.4,38.8,VIDSUBTITLES_BIO_LOAD_8
biodomes_load,39.2,44.8,VIDSUBTITLES_BIO_LOAD_9
blackstation_load,0.5,10.2,VIDSUBTITLES_BLA_LOAD_1
blackstation_load,11,19.4,VIDSUBTITLES_BLA_LOAD_2
blackstation_load,20,22,VIDSUBTITLES_BLA_LOAD_3
blackstation_load,24.4,33.5,VIDSUBTITLES_BLA_LOAD_4
blackstation_load,34,37.3,VIDSUBTITLES_BLA_LOAD_5
blackstation_load,38,42.6,VIDSUBTITLES_BLA_LOAD_6
blackstation_load,43,45,VIDSUBTITLES_BLA_LOAD_7
castle_load,33,35,VIDSUBTITLES_CASTLE_01
castle_load,41,44,VIDSUBTITLES_CASTLE_02
castle_load,54,57,VIDSUBTITLES_CASTLE_03
castle_load,60,62,VIDSUBTITLES_CASTLE_04
castle_load,63,64,VIDSUBTITLES_CASTLE_05
castle_load,66,67,VIDSUBTITLES_CASTLE_06
castle_load,70,74,VIDSUBTITLES_CASTLE_07
castle_load,79,84,VIDSUBTITLES_CASTLE_08
cp_biodomes_load_bsp2loadingmovie,0.2,1,VIDSUBTITLES_BIO2_LOAD_1
cp_biodomes_load_bsp2loadingmovie,1.3,1.8,VIDSUBTITLES_BIO2_LOAD_2
cp_biodomes_load_bsp2loadingmovie,2.2,7.2,VIDSUBTITLES_BIO2_LOAD_3
cp_biodomes_load_bsp2loadingmovie,7.5,12.8,VIDSUBTITLES_BIO2_LOAD_4
cp_infection_fs_hideout,0.4,3.9,VIDSUBTITLES_INF_HIDEOUT_1
cp_infection_fs_hideout,4.4,11,VIDSUBTITLES_INF_HIDEOUT_2
cp_infection_fs_hideout,11.4,16.2,VIDSUBTITLES_INF_HIDEOUT_3
cp_infection_fs_hideout,16.5,18.5,VIDSUBTITLES_INF_HIDEOUT_4
cp_infection_fs_hideout,21.1,24,VIDSUBTITLES_INF_HIDEOUT_5
cp_infection_fs_hideout,24.3,25,VIDSUBTITLES_INF_HIDEOUT_6
cp_infection_fs_hideout,25.5,27,VIDSUBTITLES_INF_HIDEOUT_7
cp_infection_fs_hideout,28,29.3,VIDSUBTITLES_INF_HIDEOUT_8
cp_infection_fs_sgenserver2,0.7,6,VIDSUBTITLES_INF_SGEN_1
cp_infection_fs_sgenserver2,6.2,10.6,VIDSUBTITLES_INF_SGEN_2
cp_infection_fs_sgenserver2,10.7,15.5,VIDSUBTITLES_INF_SGEN_3
cp_lotus1_fs_meditate,0.2,5.9,VIDSUBTITLES_LOT_LOAD_9
cp_lotus1_fs_meditate,6,14.9,VIDSUBTITLES_LOT_LOAD_10
cp_lotus1_fs_meditate,15,20,VIDSUBTITLES_LOT_LOAD_11
cp_lotus3_load_loadingmovie,8.6,13.4,VIDSUBTITLES_LOT_LOAD_13
cp_lotus3_load_loadingmovie,13.5,16,VIDSUBTITLES_LOT_LOAD_14
cp_lotus3_load_loadingmovie,16.1,21.7,VIDSUBTITLES_LOT_LOAD_15
cp_lotus3_load_loadingmovie,21.8,26.4,VIDSUBTITLES_LOT_LOAD_16
cp_lotus3_load_loadingmovie,26.5,31.9,VIDSUBTITLES_LOT_LOAD_17
cp_lotus3_load_loadingmovie,32,36,VIDSUBTITLES_LOT_LOAD_18
cp_prologue_load_loadingmovie,1,5.6,VIDSUBTITLES_PRO_LOAD_3
cp_prologue_load_loadingmovie,6.5,10.5,VIDSUBTITLES_PRO_LOAD_2
cp_prologue_load_loadingmovie,12,15.5,VIDSUBTITLES_PRO_LOAD_5
cp_prologue_load_loadingmovie,19,25,VIDSUBTITLES_PRO_LOAD_1
cp_prologue_load_loadingmovie,26.5,31,VIDSUBTITLES_PRO_LOAD_4
cp_prologue_load_loadingmovie,31.5,35,VIDSUBTITLES_PRO_LOAD_6
cp_prologue_load_loadingmovie,36,38.5,VIDSUBTITLES_PRO_LOAD_7
cp_prologue_load_loadingmovie,40,44,VIDSUBTITLES_PRO_LOAD_8
cp_prologue_load_loadingmovie,46,50,VIDSUBTITLES_PRO_LOAD_9
cp_prologue_load_loadingmovie,50.5,54.5,VIDSUBTITLES_PRO_LOAD_10
cp_prologue_load_loadingmovie,55,59,VIDSUBTITLES_PRO_LOAD_11
